Gene Set,entrez_gene,gene,symbol,description
PEP,12367,ENSMUSG00000031628,Casp3,caspase 3 [Source:MGI Symbol;Acc:MGI:107739]
PEP,69260,ENSMUSG00000063049,Ing2,"inhibitor of growth family, member 2 [Source:MGI Symbol;Acc:MGI:1916510]"
PEP,108150,ENSMUSG00000031608,Galnt7,polypeptide N-acetylgalactosaminyltransferase 7 [Source:MGI Symbol;Acc:MGI:1349449]
PEP,NA,ENSMUSG00000086866,4930512H18Rik,RIKEN cDNA 4930512H18 gene [Source:MGI Symbol;Acc:MGI:1922361]
PEP,234311,ENSMUSG00000037921,Ddx60,DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]
PEP,18166,ENSMUSG00000036437,Npy1r,neuropeptide Y receptor Y1 [Source:MGI Symbol;Acc:MGI:104963]
PEP,234353,ENSMUSG00000030465,Psd3,pleckstrin and Sec7 domain containing 3 [Source:MGI Symbol;Acc:MGI:1918215]
PEP,66869,ENSMUSG00000054648,Zfp869,zinc finger protein 869 [Source:MGI Symbol;Acc:MGI:1914119]
PEP,110385,ENSMUSG00000031842,Pde4c,"phosphodiesterase 4C, cAMP specific [Source:MGI Symbol;Acc:MGI:99556]"
PEP,382019,ENSMUSG00000089857,Zfp882,zinc finger protein 882 [Source:MGI Symbol;Acc:MGI:3642748]
PEP,622675,ENSMUSG00000071064,Zfp827,zinc finger protein 827 [Source:MGI Symbol;Acc:MGI:2444807]
PEP,67687,ENSMUSG00000031682,1700011L22Rik,RIKEN cDNA 1700011L22 gene [Source:MGI Symbol;Acc:MGI:1914937]
PEP,73945,ENSMUSG00000036990,Otud4,OTU domain containing 4 [Source:MGI Symbol;Acc:MGI:1098801]
PEP,15245,ENSMUSG00000064325,Hhip,Hedgehog-interacting protein [Source:MGI Symbol;Acc:MGI:1341847]
PEP,19216,ENSMUSG00000019464,Ptger1,prostaglandin E receptor 1 (subtype EP1) [Source:MGI Symbol;Acc:MGI:97793]
PEP,666704,ENSMUSG00000079003,Samd1,sterile alpha motif domain containing 1 [Source:MGI Symbol;Acc:MGI:2142433]
PEP,74513,ENSMUSG00000036902,Neto2,neuropilin (NRP) and tolloid (TLL)-like 2 [Source:MGI Symbol;Acc:MGI:1921763]
PEP,NA,ENSMUSG00000098439,Hm629797,cDNA sequence HM629797 [Source:MGI Symbol;Acc:MGI:5440479]
PEP,12404,ENSMUSG00000031654,Cbln1,cerebellin 1 precursor protein [Source:MGI Symbol;Acc:MGI:88281]
PEP,257632,ENSMUSG00000055994,Nod2,nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]
PEP,723956,ENSMUSG00000065512,Mir138-2,microRNA 138-2 [Source:MGI Symbol;Acc:MGI:3618733]
PEP,434341,ENSMUSG00000074151,Nlrc5,"NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]"
PEP,58994,ENSMUSG00000031906,Smpd3,"sphingomyelin phosphodiesterase 3, neutral [Source:MGI Symbol;Acc:MGI:1927578]"
PEP,21750,ENSMUSG00000031921,Terf2,telomeric repeat binding factor 2 [Source:MGI Symbol;Acc:MGI:1195972]
PEP,142682,ENSMUSG00000061410,Zcchc14,"zinc finger, CCHC domain containing 14 [Source:MGI Symbol;Acc:MGI:2159407]"
PEP,12398,ENSMUSG00000006362,Cbfa2t3,CBFA2/RUNX1 translocation partner 3 [Source:MGI Symbol;Acc:MGI:1338013]
PEP,73068,ENSMUSG00000039357,Fut11,fucosyltransferase 11 [Source:MGI Symbol;Acc:MGI:1920318]
PEP,320234,ENSMUSG00000046753,Ccdc66,coiled-coil domain containing 66 [Source:MGI Symbol;Acc:MGI:2443639]
PEP,66175,ENSMUSG00000042485,Mustn1,"musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]"
PEP,66923,ENSMUSG00000042323,Pbrm1,polybromo 1 [Source:MGI Symbol;Acc:MGI:1923998]
PEP,64652,ENSMUSG00000021910,Nisch,nischarin [Source:MGI Symbol;Acc:MGI:1928323]
PEP,319508,ENSMUSG00000041479,Syt15,synaptotagmin XV [Source:MGI Symbol;Acc:MGI:2442166]
PEP,12166,ENSMUSG00000021796,Bmpr1a,"bone morphogenetic protein receptor, type 1A [Source:MGI Symbol;Acc:MGI:1338938]"
PEP,239038,ENSMUSG00000043418,Lrit2,"leucine-rich repeat, immunoglobulin-like and transmembrane domains 2 [Source:MGI Symbol;Acc:MGI:2444885]"
PEP,170677,ENSMUSG00000021803,Cdhr1,cadherin-related family member 1 [Source:MGI Symbol;Acc:MGI:2157782]
PEP,NA,ENSMUSG00000021871,Gm49342,"predicted gene, 49342 [Source:MGI Symbol;Acc:MGI:6121535]"
PEP,667034,ENSMUSG00000068417,Pnp2,purine-nucleoside phosphorylase 2 [Source:MGI Symbol;Acc:MGI:3712328]
PEP,NA,ENSMUSG00000093966,Trav4-3,T cell receptor alpha variable 4-3 [Source:MGI Symbol;Acc:MGI:4440478]
PEP,239096,ENSMUSG00000059674,Cdh24,cadherin-like 24 [Source:MGI Symbol;Acc:MGI:1928330]
PEP,319984,ENSMUSG00000022208,Jph4,junctophilin 4 [Source:MGI Symbol;Acc:MGI:2443113]
PEP,16391,ENSMUSG00000002325,Irf9,interferon regulatory factor 9 [Source:MGI Symbol;Acc:MGI:107587]
PEP,52585,ENSMUSG00000002332,Dhrs1,dehydrogenase/reductase (SDR family) member 1 [Source:MGI Symbol;Acc:MGI:1196314]
PEP,16554,ENSMUSG00000060012,Kif13b,kinesin family member 13B [Source:MGI Symbol;Acc:MGI:1098265]
PEP,14365,ENSMUSG00000007989,Fzd3,frizzled class receptor 3 [Source:MGI Symbol;Acc:MGI:108476]
PEP,19229,ENSMUSG00000059456,Ptk2b,PTK2 protein tyrosine kinase 2 beta [Source:MGI Symbol;Acc:MGI:104908]
PEP,56471,ENSMUSG00000022044,Stmn4,stathmin-like 4 [Source:MGI Symbol;Acc:MGI:1931224]
PEP,319448,ENSMUSG00000033487,Fndc3a,fibronectin type III domain containing 3A [Source:MGI Symbol;Acc:MGI:1196463]
PEP,380921,ENSMUSG00000034731,Dgkh,"diacylglycerol kinase, eta [Source:MGI Symbol;Acc:MGI:2444188]"
PEP,56419,ENSMUSG00000022021,Diaph3,diaphanous related formin 3 [Source:MGI Symbol;Acc:MGI:1927222]
PEP,380928,ENSMUSG00000033060,Lmo7,LIM domain only 7 [Source:MGI Symbol;Acc:MGI:1353586]
PEP,211286,ENSMUSG00000022125,Cln5,"ceroid-lipofuscinosis, neuronal 5 [Source:MGI Symbol;Acc:MGI:2442253]"
PEP,223254,ENSMUSG00000025555,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) [Source:MGI Symbol;Acc:MGI:2446173]"
PEP,NA,ENSMUSG00000085133,B930095G15Rik,RIKEN cDNA B930095G15 gene [Source:MGI Symbol;Acc:MGI:2443701]
PEP,70551,ENSMUSG00000041594,Tmtc4,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050]
PEP,NA,ENSMUSG00000092896,NA,NA
PEP,12362,ENSMUSG00000025888,Casp1,caspase 1 [Source:MGI Symbol;Acc:MGI:96544]
PEP,22688,ENSMUSG00000063108,Zfp26,zinc finger protein 26 [Source:MGI Symbol;Acc:MGI:99173]
PEP,13430,ENSMUSG00000033335,Dnm2,dynamin 2 [Source:MGI Symbol;Acc:MGI:109547]
PEP,235132,ENSMUSG00000047412,Zbtb44,zinc finger and BTB domain containing 44 [Source:MGI Symbol;Acc:MGI:1925123]
PEP,19143,ENSMUSG00000031995,St14,suppression of tumorigenicity 14 (colon carcinoma) [Source:MGI Symbol;Acc:MGI:1338881]
PEP,382066,ENSMUSG00000042496,Prdm10,PR domain containing 10 [Source:MGI Symbol;Acc:MGI:2682952]
PEP,214162,ENSMUSG00000002028,Kmt2a,lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]
PEP,114873,ENSMUSG00000032087,Dscaml1,DS cell adhesion molecule like 1 [Source:MGI Symbol;Acc:MGI:2150309]
PEP,76794,ENSMUSG00000086728,Man2c1os,"mannosidase, alpha, class 2C, member 1, opposite strand [Source:MGI Symbol;Acc:MGI:1924044]"
PEP,73673,ENSMUSG00000074269,Rec114,REC114 meiotic recombination protein [Source:MGI Symbol;Acc:MGI:1920923]
PEP,102774,ENSMUSG00000025235,Bbs4,Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol;Acc:MGI:2143311]
PEP,NA,ENSMUSG00000090516,Rps11-ps1,"ribosomal protein S11, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644744]"
PEP,207596,ENSMUSG00000032289,Thsd4,"thrombospondin, type I, domain containing 4 [Source:MGI Symbol;Acc:MGI:2672033]"
PEP,56469,ENSMUSG00000032405,Pias1,protein inhibitor of activated STAT 1 [Source:MGI Symbol;Acc:MGI:1913125]
PEP,17130,ENSMUSG00000036867,Smad6,SMAD family member 6 [Source:MGI Symbol;Acc:MGI:1336883]
PEP,214425,ENSMUSG00000042254,Cilp,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:MGI Symbol;Acc:MGI:2444507]"
PEP,214812,ENSMUSG00000040524,Zfp609,zinc finger protein 609 [Source:MGI Symbol;Acc:MGI:2674092]
PEP,235469,ENSMUSG00000038535,Zfp280d,zinc finger protein 280D [Source:MGI Symbol;Acc:MGI:2384583]
PEP,17999,ENSMUSG00000032216,Nedd4,"neural precursor cell expressed, developmentally down-regulated 4 [Source:MGI Symbol;Acc:MGI:97297]"
PEP,235497,ENSMUSG00000042487,Leo1,"Leo1, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2685031]"
PEP,215351,ENSMUSG00000034252,Senp6,SUMO/sentrin specific peptidase 6 [Source:MGI Symbol;Acc:MGI:1922075]
PEP,319405,ENSMUSG00000097466,D430036J16Rik,RIKEN cDNA D430036J16 gene [Source:MGI Symbol;Acc:MGI:2441977]
PEP,75033,ENSMUSG00000043289,Mei4,meiotic double-stranded break formation protein 4 [Source:MGI Symbol;Acc:MGI:1922283]
PEP,83946,ENSMUSG00000032253,Phip,pleckstrin homology domain interacting protein [Source:MGI Symbol;Acc:MGI:1932404]
PEP,212943,ENSMUSG00000032265,Tent5a,terminal nucleotidyltransferase 5A [Source:MGI Symbol;Acc:MGI:2670964]
PEP,244958,ENSMUSG00000042761,Mrap2,melanocortin 2 receptor accessory protein 2 [Source:MGI Symbol;Acc:MGI:3609239]
PEP,NA,ENSMUSG00000096976,NA,NA
PEP,272636,ENSMUSG00000037681,Esyt3,extended synaptotagmin-like protein 3 [Source:MGI Symbol;Acc:MGI:1098699]
PEP,67905,ENSMUSG00000020253,Ppm1m,protein phosphatase 1M [Source:MGI Symbol;Acc:MGI:1915155]
PEP,14678,ENSMUSG00000032562,Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2 [Source:MGI Symbol;Acc:MGI:95772]"
PEP,19882,ENSMUSG00000032584,Mst1r,macrophage stimulating 1 receptor (c-met-related tyrosine kinase) [Source:MGI Symbol;Acc:MGI:99614]
PEP,19087,ENSMUSG00000032601,Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha [Source:MGI Symbol;Acc:MGI:108025]"
PEP,107934,ENSMUSG00000023473,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3 [Source:MGI Symbol;Acc:MGI:1858236]"
PEP,20840,ENSMUSG00000032502,Stac,src homology three (SH3) and cysteine rich domain [Source:MGI Symbol;Acc:MGI:1201400]
PEP,27215,ENSMUSG00000039285,Azi2,5-azacytidine induced gene 2 [Source:MGI Symbol;Acc:MGI:1351332]
PEP,22351,ENSMUSG00000038775,Vill,villin-like [Source:MGI Symbol;Acc:MGI:1201781]
PEP,215474,ENSMUSG00000061536,Sec22c,"SEC22 homolog C, vesicle trafficking protein [Source:MGI Symbol;Acc:MGI:2447871]"
PEP,NA,ENSMUSG00000090608,Gm17200,predicted gene 17200 [Source:MGI Symbol;Acc:MGI:4938027]
PEP,93730,ENSMUSG00000025245,Lztfl1,leucine zipper transcription factor-like 1 [Source:MGI Symbol;Acc:MGI:1934860]
PEP,407821,ENSMUSG00000041961,Znrf3,zinc and ring finger 3 [Source:MGI Symbol;Acc:MGI:3039616]
PEP,14783,ENSMUSG00000020176,Grb10,growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]
PEP,68145,ENSMUSG00000016984,Etaa1,Ewing tumor-associated antigen 1 [Source:MGI Symbol;Acc:MGI:1915395]
PEP,216558,ENSMUSG00000001891,Ugp2,UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]
PEP,53625,ENSMUSG00000051650,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:MGI Symbol;Acc:MGI:1889505]"
PEP,14025,ENSMUSG00000000861,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]
PEP,67030,ENSMUSG00000004018,Fancl,"Fanconi anemia, complementation group L [Source:MGI Symbol;Acc:MGI:1914280]"
PEP,104570,ENSMUSG00000020463,Ppp4r3b,protein phosphatase 4 regulatory subunit 3B [Source:MGI Symbol;Acc:MGI:2144474]
PEP,237716,ENSMUSG00000043999,Gpr75,G protein-coupled receptor 75 [Source:MGI Symbol;Acc:MGI:2441843]
PEP,380694,ENSMUSG00000044707,Ccnjl,cyclin J-like [Source:MGI Symbol;Acc:MGI:2685723]
PEP,320116,ENSMUSG00000048721,Fndc9,fibronectin type III domain containing 9 [Source:MGI Symbol;Acc:MGI:2443410]
PEP,16428,ENSMUSG00000020395,Itk,IL2 inducible T cell kinase [Source:MGI Symbol;Acc:MGI:96621]
PEP,14778,ENSMUSG00000018339,Gpx3,glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]
PEP,NA,ENSMUSG00000086933,4933426K07Rik,RIKEN cDNA 4933426K07 gene [Source:MGI Symbol;Acc:MGI:1918404]
PEP,216799,ENSMUSG00000032691,Nlrp3,"NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]"
PEP,13855,ENSMUSG00000001036,Epn2,epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]
PEP,327946,ENSMUSG00000085162,Gm12295,predicted gene 12295 [Source:MGI Symbol;Acc:MGI:3650535]
PEP,380702,ENSMUSG00000053930,Shisa6,shisa family member 6 [Source:MGI Symbol;Acc:MGI:2685725]
PEP,193003,ENSMUSG00000048070,Pirt,phosphoinositide-interacting regulator of transient receptor potential channels [Source:MGI Symbol;Acc:MGI:2443635]
PEP,71576,ENSMUSG00000085683,Tmem238l,transmembrane protein 238 like [Source:MGI Symbol;Acc:MGI:1918826]
PEP,216848,ENSMUSG00000018474,Chd3,chromodomain helicase DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1344395]
PEP,100503361,ENSMUSG00000094845,Tmem95,transmembrane protein 95 [Source:MGI Symbol;Acc:MGI:3779488]
PEP,103712,ENSMUSG00000018451,6330403K07Rik,RIKEN cDNA 6330403K07 gene [Source:MGI Symbol;Acc:MGI:1918001]
PEP,11736,ENSMUSG00000020790,Ankfy1,ankyrin repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1337008]
PEP,83429,ENSMUSG00000005949,Ctns,"cystinosis, nephropathic [Source:MGI Symbol;Acc:MGI:1932872]"
PEP,193034,ENSMUSG00000005952,Trpv1,"transient receptor potential cation channel, subfamily V, member 1 [Source:MGI Symbol;Acc:MGI:1341787]"
PEP,432582,ENSMUSG00000069814,Ccdc92b,coiled-coil domain containing 92B [Source:MGI Symbol;Acc:MGI:3588240]
PEP,97761,ENSMUSG00000038351,Sgsm2,small G protein signaling modulator 2 [Source:MGI Symbol;Acc:MGI:2144695]
PEP,NA,ENSMUSG00000077493,Snord91a,"small nucleolar RNA, C/D box 91A [Source:MGI Symbol;Acc:MGI:3819564]"
PEP,27364,ENSMUSG00000001323,Srr,serine racemase [Source:MGI Symbol;Acc:MGI:1351636]
PEP,18230,ENSMUSG00000020844,Nxn,nucleoredoxin [Source:MGI Symbol;Acc:MGI:109331]
PEP,12874,ENSMUSG00000020841,Cpd,carboxypeptidase D [Source:MGI Symbol;Acc:MGI:107265]
PEP,66274,ENSMUSG00000072640,Lyrm9,LYR motif containing 9 [Source:MGI Symbol;Acc:MGI:1913524]
PEP,22680,ENSMUSG00000017421,Zfp207,zinc finger protein 207 [Source:MGI Symbol;Acc:MGI:1340045]
PEP,20296,ENSMUSG00000035385,Ccl2,chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
PEP,76113,ENSMUSG00000009356,Lpo,lactoperoxidase [Source:MGI Symbol;Acc:MGI:1923363]
PEP,67888,ENSMUSG00000069763,Tmem100,transmembrane protein 100 [Source:MGI Symbol;Acc:MGI:1915138]
PEP,67468,ENSMUSG00000003948,Mmd,monocyte to macrophage differentiation-associated [Source:MGI Symbol;Acc:MGI:1914718]
PEP,20913,ENSMUSG00000020546,Stxbp4,syntaxin binding protein 4 [Source:MGI Symbol;Acc:MGI:1342296]
PEP,76815,ENSMUSG00000006056,Calcoco2,calcium binding and coiled-coil domain 2 [Source:MGI Symbol;Acc:MGI:1343177]
PEP,237930,ENSMUSG00000038756,Ttll6,"tubulin tyrosine ligase-like family, member 6 [Source:MGI Symbol;Acc:MGI:2683461]"
PEP,100141474,ENSMUSG00000047988,4933428G20Rik,RIKEN cDNA 4933428G20 gene [Source:MGI Symbol;Acc:MGI:1918475]
PEP,70110,ENSMUSG00000010358,Ifi35,interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]
PEP,50997,ENSMUSG00000017314,Mpp2,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:MGI Symbol;Acc:MGI:1858257]"
PEP,217216,ENSMUSG00000034773,Hrob,homologous recombination factor with OB-fold [Source:MGI Symbol;Acc:MGI:2387601]
PEP,NA,ENSMUSG00000085229,Gm11672,predicted gene 11672 [Source:MGI Symbol;Acc:MGI:3651419]
PEP,66313,ENSMUSG00000018363,Smurf2,SMAD specific E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1913563]
PEP,78455,ENSMUSG00000020721,Helz,helicase with zinc finger domain [Source:MGI Symbol;Acc:MGI:1925705]
PEP,76380,ENSMUSG00000020728,Cep112,centrosomal protein 112 [Source:MGI Symbol;Acc:MGI:1923673]
PEP,19739,ENSMUSG00000020599,Rgs9,regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]
PEP,14674,ENSMUSG00000020611,Gna13,"guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]"
PEP,208659,ENSMUSG00000020614,Fam20a,"FAM20A, golgi associated secretory pathway pseudokinase [Source:MGI Symbol;Acc:MGI:2388266]"
PEP,217294,ENSMUSG00000041674,BC006965,cDNA sequence BC006965 [Source:MGI Symbol;Acc:MGI:2384955]
PEP,69806,ENSMUSG00000041654,Slc39a11,"solute carrier family 39 (metal ion transporter), member 11 [Source:MGI Symbol;Acc:MGI:1917056]"
PEP,20606,ENSMUSG00000047904,Sstr2,somatostatin receptor 2 [Source:MGI Symbol;Acc:MGI:98328]
PEP,11430,ENSMUSG00000020777,Acox1,"acyl-Coenzyme A oxidase 1, palmitoyl [Source:MGI Symbol;Acc:MGI:1330812]"
PEP,21877,ENSMUSG00000025574,Tk1,thymidine kinase 1 [Source:MGI Symbol;Acc:MGI:98763]
PEP,71562,ENSMUSG00000017718,Afmid,arylformamidase [Source:MGI Symbol;Acc:MGI:2448704]
PEP,319454,ENSMUSG00000085081,Rptoros,"regulatory associated protein of MTOR, complex 1, opposite strand [Source:MGI Symbol;Acc:MGI:2442055]"
PEP,58210,ENSMUSG00000039364,Sectm1b,secreted and transmembrane 1B [Source:MGI Symbol;Acc:MGI:1929083]
PEP,23849,ENSMUSG00000000078,Klf6,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
PEP,NA,ENSMUSG00000088442,NA,NA
PEP,16323,ENSMUSG00000041324,Inhba,inhibin beta-A [Source:MGI Symbol;Acc:MGI:96570]
PEP,214189,ENSMUSG00000021337,Scgn,"secretagogin, EF-hand calcium binding protein [Source:MGI Symbol;Acc:MGI:2384873]"
PEP,12763,ENSMUSG00000016756,Cmah,cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol;Acc:MGI:103227]
PEP,195208,ENSMUSG00000035910,Dcdc2a,doublecortin domain containing 2a [Source:MGI Symbol;Acc:MGI:2652818]
PEP,22360,ENSMUSG00000048978,Nrsn1,neurensin 1 [Source:MGI Symbol;Acc:MGI:894662]
PEP,NA,ENSMUSG00000085936,2610307P16Rik,RIKEN cDNA 2610307P16 gene [Source:MGI Symbol;Acc:MGI:1919768]
PEP,NA,ENSMUSG00000085981,NA,NA
PEP,14538,ENSMUSG00000021360,Gcnt2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme [Source:MGI Symbol;Acc:MGI:1100870]"
PEP,17152,ENSMUSG00000021363,Mak,male germ cell-associated kinase [Source:MGI Symbol;Acc:MGI:96913]
PEP,105193,ENSMUSG00000044231,Nhlrc1,NHL repeat containing 1 [Source:MGI Symbol;Acc:MGI:2145264]
PEP,20354,ENSMUSG00000021451,Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D [Source:MGI Symbol;Acc:MGI:109244]"
PEP,20963,ENSMUSG00000021457,Syk,spleen tyrosine kinase [Source:MGI Symbol;Acc:MGI:99515]
PEP,105245508,ENSMUSG00000090016,Gm16578,predicted gene 16578 [Source:MGI Symbol;Acc:MGI:4414998]
PEP,319719,ENSMUSG00000043183,Simc1,SUMO-interacting motifs containing 1 [Source:MGI Symbol;Acc:MGI:2442599]
PEP,56795,ENSMUSG00000025870,Arl10,ADP-ribosylation factor-like 10 [Source:MGI Symbol;Acc:MGI:1930788]
PEP,78521,ENSMUSG00000045767,B230219D22Rik,RIKEN cDNA B230219D22 gene [Source:MGI Symbol;Acc:MGI:1925771]
PEP,26946,ENSMUSG00000021541,Trpc7,"transient receptor potential cation channel, subfamily C, member 7 [Source:MGI Symbol;Acc:MGI:1349470]"
PEP,105348,ENSMUSG00000021556,Golm1,golgi membrane protein 1 [Source:MGI Symbol;Acc:MGI:1917329]
PEP,NA,ENSMUSG00000097242,NA,NA
PEP,66129,ENSMUSG00000021482,Prxl2c,peroxiredoxin like 2C [Source:MGI Symbol;Acc:MGI:1913379]
PEP,78251,ENSMUSG00000090641,Zfp712,zinc finger protein 712 [Source:MGI Symbol;Acc:MGI:1925501]
PEP,11624,ENSMUSG00000021575,Ahrr,aryl-hydrocarbon receptor repressor [Source:MGI Symbol;Acc:MGI:1333776]
PEP,105171,ENSMUSG00000074794,Arrdc3,arrestin domain containing 3 [Source:MGI Symbol;Acc:MGI:2145242]
PEP,72852,ENSMUSG00000051098,Mblac2,metallo-beta-lactamase domain containing 2 [Source:MGI Symbol;Acc:MGI:1920102]
PEP,13003,ENSMUSG00000021614,Vcan,versican [Source:MGI Symbol;Acc:MGI:102889]
PEP,11774,ENSMUSG00000021686,Ap3b1,"adaptor-related protein complex 3, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1333879]"
PEP,218461,ENSMUSG00000021684,Pde8b,phosphodiesterase 8B [Source:MGI Symbol;Acc:MGI:2443999]
PEP,110596,ENSMUSG00000021662,Arhgef28,Rho guanine nucleotide exchange factor (GEF) 28 [Source:MGI Symbol;Acc:MGI:1346016]
PEP,27220,ENSMUSG00000021647,Cartpt,CART prepropeptide [Source:MGI Symbol;Acc:MGI:1351330]
PEP,17940,ENSMUSG00000021640,Naip1,"NLR family, apoptosis inhibitory protein 1 [Source:MGI Symbol;Acc:MGI:1298223]"
PEP,18708,ENSMUSG00000041417,Pik3r1,phosphoinositide-3-kinase regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:97583]
PEP,15550,ENSMUSG00000021721,Htr1a,5-hydroxytryptamine (serotonin) receptor 1A [Source:MGI Symbol;Acc:MGI:96273]
PEP,238880,ENSMUSG00000055194,Actbl2,"actin, beta-like 2 [Source:MGI Symbol;Acc:MGI:2444552]"
PEP,17977,ENSMUSG00000020647,Ncoa1,nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1276523]
PEP,15902,ENSMUSG00000020644,Id2,inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]
PEP,17933,ENSMUSG00000061911,Myt1l,myelin transcription factor 1-like [Source:MGI Symbol;Acc:MGI:1100511]
PEP,100294583,ENSMUSG00000054204,Alkal2,ALK and LTK ligand 2 [Source:MGI Symbol;Acc:MGI:3697448]
PEP,207304,ENSMUSG00000035247,Hectd1,HECT domain E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2384768]
PEP,328099,ENSMUSG00000079104,Prps1l3,phosphoribosyl pyrophosphate synthetase 1-like 3 [Source:MGI Symbol;Acc:MGI:3779453]
PEP,20605,ENSMUSG00000035431,Sstr1,somatostatin receptor 1 [Source:MGI Symbol;Acc:MGI:98327]
PEP,72736,ENSMUSG00000021072,Tmx1,thioredoxin-related transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1919986]
PEP,20471,ENSMUSG00000051367,Six1,sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
PEP,238257,ENSMUSG00000034435,Tmem30b,transmembrane protein 30B [Source:MGI Symbol;Acc:MGI:2442082]
PEP,238266,ENSMUSG00000044912,Syt16,synaptotagmin XVI [Source:MGI Symbol;Acc:MGI:2673872]
PEP,NA,ENSMUSG00000071265,1700086L19Rik,RIKEN cDNA 1700086L19 gene [Source:MGI Symbol;Acc:MGI:1921534]
PEP,386753,ENSMUSG00000029878,Dbpht2,DNA binding protein with his-thr domain [Source:MGI Symbol;Acc:MGI:2679513]
PEP,319565,ENSMUSG00000063450,Syne2,"spectrin repeat containing, nuclear envelope 2 [Source:MGI Symbol;Acc:MGI:2449316]"
PEP,NA,ENSMUSG00000049246,Hspe1-ps2,"heat shock protein 1 (chaperonin 10), pseudogene 2 [Source:MGI Symbol;Acc:MGI:1935162]"
PEP,54604,ENSMUSG00000021140,Pcnx,pecanex homolog [Source:MGI Symbol;Acc:MGI:1891924]
PEP,75216,ENSMUSG00000061533,Cep128,centrosomal protein 128 [Source:MGI Symbol;Acc:MGI:1922466]
PEP,14744,ENSMUSG00000021886,Gpr65,G-protein coupled receptor 65 [Source:MGI Symbol;Acc:MGI:108031]
PEP,78767,ENSMUSG00000021176,Efcab11,EF-hand calcium binding domain 11 [Source:MGI Symbol;Acc:MGI:1926017]
PEP,73086,ENSMUSG00000021180,Rps6ka5,"ribosomal protein S6 kinase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1920336]"
PEP,217830,ENSMUSG00000021185,Dglucy,D-glutamate cyclase [Source:MGI Symbol;Acc:MGI:2444813]
PEP,238377,ENSMUSG00000047415,Gpr68,G protein-coupled receptor 68 [Source:MGI Symbol;Acc:MGI:2441763]
PEP,238386,ENSMUSG00000041702,Btbd7,BTB (POZ) domain containing 7 [Source:MGI Symbol;Acc:MGI:1917858]
PEP,217847,ENSMUSG00000061947,Serpina10,"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10 [Source:MGI Symbol;Acc:MGI:2667725]"
PEP,NA,ENSMUSG00000091553,Serpina3e-ps,"serine (or cysteine) peptidase inhibitor, clade A, member 3E, pseudogene [Source:MGI Symbol;Acc:MGI:2182837]"
